|   ID    |        DATE         |  PROBLEM  |  RESULT   | TIME  |  MEM   | LNG |
| 13280356 | 2014-12-27 13:07:13 |      NDIV |        WA |  0.03 |   2828 | C++ |
| 11498283 | 2014-04-27 07:51:16 |   MAJSTOR |        WA |  0.02 |   4048 | PYT |
| 11492423 | 2014-04-25 17:46:23 |    CNEASY |        AC |  0.00 |   4080 | PYT |
| 11492413 | 2014-04-25 17:42:02 |    CNEASY |        WA |  0.03 |   4048 | PYT |
| 11492408 | 2014-04-25 17:41:38 |    CNEASY |        CE |  0.00 |      0 | C++ |
| 11491796 | 2014-04-25 15:11:08 |      LISA |        WA |  1.47 |   4060 | PYT |
| 11491790 | 2014-04-25 15:10:47 |      LISA |        CE |  0.00 |      0 | C++ |
| 11491572 | 2014-04-25 14:13:34 |       PIR |        AC |  0.00 |   2688 | C++ |
| 11478881 | 2014-04-22 18:54:37 |   CFPARTY |        AC |  0.02 |   2688 | C++ |
| 11478873 | 2014-04-22 18:52:40 |   CFPARTY |       TLE | -1.00 |   2688 | C++ |
| 11478866 | 2014-04-22 18:51:40 |   CFPARTY |       TLE | -1.00 |   4048 | PYT |
| 11453276 | 2014-04-17 06:00:17 |      TEST |        WA |  0.00 |   2824 | C++ |
| 11422071 | 2014-04-10 21:06:46 |   KOMPICI |        AC |  1.05 |   2688 | C++ |
| 11422002 | 2014-04-10 20:54:37 |   KOMPICI |       TLE | -1.00 |   4320 | PYT |
| 11421941 | 2014-04-10 20:45:24 |   KOMPICI |       TLE | -1.00 |   4316 | PYT |
| 10645823 | 2013-12-12 15:39:18 |      QUE1 |        RE |  0.00 |   6304 | HAS |
| 10552394 | 2013-11-28 14:27:59 |     FCTRL |       TLE | -1.00 |   3744 | HAS |
| 10514081 | 2013-11-21 14:49:22 |    ADDREV |        AC |  0.08 |   3744 | HAS |
| 10506961 | 2013-11-20 07:10:44 |  GEEKOUNT |        AC |  0.29 |  15968 | C++ |
| 10506960 | 2013-11-20 07:10:07 |  GEEKOUNT |        RE |  0.05 |  12056 | C++ |
| 10506956 | 2013-11-20 07:08:05 |  GEEKOUNT |        AC |  0.33 |   2820 | C++ |
| 10506950 | 2013-11-20 07:06:41 |  GEEKOUNT |        AC |  0.32 |   2820 | C++ |
| 10505243 | 2013-11-19 19:49:43 |    FCTRL2 |        AC |  0.00 |   3740 | HAS |
| 10505236 | 2013-11-19 19:47:58 |    FCTRL2 |        CE |  0.00 |      0 | HAS |
| 10505224 | 2013-11-19 19:45:31 |    FCTRL2 |        CE |  0.00 |      0 | HAS |
| 10505223 | 2013-11-19 19:45:18 |    FCTRL2 |        CE |  0.00 |      0 | HAS |
| 10503904 | 2013-11-19 13:49:10 |  IITKWPCF |       TLE | -1.00 |   3800 | C++ |
| 10502685 | 2013-11-19 09:17:26 |  VERODOOM |        AC |  2.10 |   4624 | HAS |
| 10502258 | 2013-11-19 06:32:10 |  UCV2013A |        AC |  0.00 |   6300 | HAS |
| 10497597 | 2013-11-18 09:13:03 |   PERMUT2 |        WA |  3.82 |   4492 | PYT |
| 10491630 | 2013-11-17 04:07:42 |  COINTOSS |        WA |  0.02 |   2688 | C++ |
| 10489630 | 2013-11-16 16:54:48 |  WILLITST |        AC |  0.00 |   4620 | HAS |
| 10489571 | 2013-11-16 16:45:42 |  WILLITST |        WA |  0.04 |   3740 | HAS |
| 10484065 | 2013-11-15 16:57:54 |  HS08PAUL |        AC |  0.24 |  51456 | C++ |
| 10484014 | 2013-11-15 16:48:47 |      RMID |        WA |  0.15 |   2824 | C++ |
| 10484011 | 2013-11-15 16:48:11 |      RMID |       TLE | -1.00 |   3124 | C++ |
| 10484008 | 2013-11-15 16:47:46 |      RMID |        WA |  0.15 |   2824 | C++ |
| 10478298 | 2013-11-14 16:37:11 |  BRKSTRNG |        AC |  1.14 |  14432 | C++ |
| 10476753 | 2013-11-14 10:26:14 |      AE3A |        WA |  0.00 |  18408 | C++ |
| 10476744 | 2013-11-14 10:23:46 |      AE3A |        CE |  0.00 |      0 | C++ |
| 10476703 | 2013-11-14 10:17:33 |      AE3A |       TLE | -1.00 |  18400 | C++ |
| 10472309 | 2013-11-13 10:50:19 |   EC_ESTA |        AC |  0.08 |   4496 | C++ |
| 10472271 | 2013-11-13 10:42:51 |   EC_ESTA |       TLE | -1.00 |   6868 | C++ |
| 10467879 | 2013-11-12 15:32:50 |   EC_ESTA |       TLE | -1.00 |   4672 | C++ |
| 10465669 | 2013-11-12 07:28:50 |      ZSUM |        AC |  0.02 |   2688 | C++ |
| 10465645 | 2013-11-12 07:17:09 |   DICTSUB |        AC |  0.04 |   2820 | C++ |
| 10465641 | 2013-11-12 07:15:51 |   DICTSUB |        AC |  0.14 |   2824 | C++ |
| 10465633 | 2013-11-12 07:12:24 |   DICTSUB |       TLE | -1.00 |   2824 | C++ |
| 10456594 | 2013-11-10 12:44:36 |   FINFRAC |       TLE | -1.00 |   2736 | C++ |
| 10456591 | 2013-11-10 12:44:19 |   FINFRAC |        CE |  0.00 |      0 | C++ |
| 10456110 | 2013-11-10 11:05:30 |   FINFRAC |       TLE | -1.00 |   2692 | C++ |
| 10455994 | 2013-11-10 10:36:53 |   FUNPROB |        AC |  0.01 |   4048 | PYT |
| 10455435 | 2013-11-10 08:05:07 |       AND |       TLE | -1.00 |   2824 | C++ |
| 10455431 | 2013-11-10 08:04:31 |       AND |        RE |  0.01 |   2820 | C++ |
| 10455420 | 2013-11-10 08:02:20 |       AND |        AC |  0.44 |   2824 | C++ |
| 10455412 | 2013-11-10 07:59:50 |       AND |        RE |  0.01 |   2820 | C++ |
| 10455198 | 2013-11-10 06:50:53 |       AND |        RE |  0.01 |   2820 | C++ |
| 10455186 | 2013-11-10 06:47:33 |       AND |       TLE | -1.00 |   2824 | C++ |
| 10455184 | 2013-11-10 06:46:44 |       AND |        RE |  0.02 |   3808 | C++ |
| 10455034 | 2013-11-10 05:50:39 |       AND |       TLE | -1.00 |  10952 | C++ |
| 10450518 | 2013-11-09 11:14:11 |   MKEQUAL |        AC |  0.22 |   4052 | PYT |
| 10449873 | 2013-11-09 09:06:28 |   ADSPROP |        AC |  0.80 |  13128 | C++ |
| 10449417 | 2013-11-09 07:06:58 |  ADFRUITS |        AC |  0.00 |   2824 | C++ |
| 10449137 | 2013-11-09 05:25:41 |   ACPC11C |        AC |  0.38 |   3208 | C++ |
| 10449128 | 2013-11-09 05:20:26 |   ACPC11C |       TLE | -1.00 |   5840 | PYT |
| 10449126 | 2013-11-09 05:18:57 |   ACPC11C |       TLE | -1.00 |   5840 | PYT |
| 10449087 | 2013-11-09 04:49:45 |   ACPC11B |        AC |  0.09 |   7696 | PYT |
| 10448889 | 2013-11-09 03:21:41 |      ABCD |        AC |  0.54 |   8000 | PYT |
| 10448876 | 2013-11-09 03:13:49 |      ABCD |        WA |  0.02 |   4048 | PYT |
| 10442638 | 2013-11-08 02:16:01 |   MANGOES |        WA |  0.03 |   6300 | HAS |
| 10442628 | 2013-11-08 02:14:21 |   MANGOES |        AC |  0.23 |   6304 | HAS |
| 10423971 | 2013-11-05 14:14:31 |     EALP1 |        AC |  0.11 |   2820 | C++ |
| 10423954 | 2013-11-05 14:12:01 |     EALP1 |       TLE | -1.00 |   2820 | C++ |
| 10413165 | 2013-11-04 04:09:11 |  SAMER08D |       TLE | -1.00 |  23976 | C++ |
| 10413122 | 2013-11-04 03:47:45 |  SAMER08D |       TLE | -1.00 |  24008 | C++ |
| 9811926 | 2013-08-10 08:42:58 |  TOANDFRO |        AC |  0.00 |   6288 | HAS |
| 9809770 | 2013-08-09 21:20:40 |       ONP |        AC |  0.04 |   3736 | HAS |
| 9363983 | 2013-05-28 10:10:31 |     FCTRL |        AC |  0.15 |   3736 | HAS |
| 9363971 | 2013-05-28 10:08:45 |     FCTRL |        AC |  0.38 |   3736 | HAS |
| 9363023 | 2013-05-28 07:08:09 |    ADDREV |        AC |  0.01 |   3740 | HAS |
| 7065868 | 2012-05-31 07:35:05 |      GAME |        RE |  3.23 |   2872 | C++ |
| 7055395 | 2012-05-29 08:23:13 |      NOSQ |        AC |  0.00 |   2916 | C++ |
